Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Hayat Türküsü,Burak DavutoğluDevin Özgür ÇınarSermin HürmeriçAslı YılmazTolga EvrenBetül ArımMelih GörgünHaldun BoysanUğur ÇavuşoğluJale Aylançİpek AtagünCanan GüvenÖzlem Başkaya,60,6,Televizyon dizisi,71,TRT 1,Kerem Çatay,2,121,Koliba Film,Ata Türkoğlu,21 Ocak 200616 Haziran 2007,Hakan Gürtop,Türkiye
İki Aile,Emre Kınayİclal Aydın,93,6,Televizyon dizisi,90,Star TV (2006-2008),Saygın DelibaşFethi Kantarcı,2,205,D Productions,Serkan KızıldağYıldız Hülya BilbanÜmit Özer,19 Haziran 2006 - 16 Haziran 2008,Nursan Esenboğa(1-24)Metin Günay (25-52)Yıldız Hülya Bilban (53-93),Türkiye
Kadın İsterse,Hülya Avşar Cihan Ünal Deniz Çakır Zerrin Sümer Derya Baykal Kazım Akşar Burçin Terzioğlu Vildan Atasever Oğuz Oktay Cahit Kaşıkçılar Elif Tayhan,52,6,Televizyon dizisi,104,Star TV (2004-2005) Show TV (2005-2006),Yelda Açıkgöz Nur Özlem Açıkgöz Birol Güven Murat Aras,2,92,Mint Ay Yapım İmaj TV (teknik yapım),Birol Güven (2004-2006) Kerem Çatay (2004-2006),12 Aralık 2004[1][2] - 25 Nisan 2006[3][4],Bora Tekay,Türkiye
Kaybolan Yıllar,Yeşim Büber Saruhan HünelBurak Hakkı,49,6,Televizyon dizisi,60,Star TV (2006-2007),Sergin AkyazSeçil Akyaz ÇolakMakbule KosifZehra Güleray,2,118,Base Productions,Sergin Akyaz,15 Nisan 2006 - 21 Haziran 2007,Zeynep Günay Gülçin Gülbahçe,Türkiye
Kınalı Kuzular,,13,6,Televizyon dizisi,104,TRT 1,Erkan Akın,1,281,Ay Yapım,Ahmet Yenilmez,28 Kasım 2006 - 20 Şubat 2007,Tunç Davut,Türkiye
Kırık Kanatlar,Mehmet Ali NuroğluÖzge ÖzberkCansel ElçinBegüm BirgörenŞemsi İnkayaSaygın SoysalTürkü HazerSermiyan MidyatTolga TecerTanju GürsuCengiz SeziciBeyazıt GülercanŞebnem Doğruer,36,6,Televizyon dizisi,104,Kanal D,Gül DiricanNeşe CehizFiliz TerziAyhan SonyürekBaykut BademFiliz Ekinci,2,81,Avşar Film,Şükrü Avşar,19 Ocak 2006 - 7 Şubat 2007,Çağatay TosunFaruk TeberTemel GürsuHaluk BenerCevdet Mercan,Türkiye
Köprü,Erdal BeşikçioğluAyşegül Ünsalİpek Karapınar,65,6,Televizyon dizisi,80,Star TV,Ozan Yurdakul,2,95,Koliba Film,Ata Türkoğlu,4 Aralık 2006[1] - 23 Haziran 2008,Sadullah Şentürk Çağatay Tosun,Türkiye
Sağır Oda,Orhan Kılıç Çağla Kubat Engin Cezzar Mahir Günşiray Arsen Gürzap,34,6,Televizyon dizisi,104,Kanal D,Ahmet Saatçioğlu Memed Onur Özkök Hakan Karahan Ayhan Bozkurt Sinan Hıncal,1,305,Ay Yapım,Timur Savcı Cüneyt Özdemir,18 Eylül 2006 - 7 Haziran 2007,Serdar Akar (1-6)Onur Tan (6-34),Türkiye
Selena,Sinem Kobal Gökhan KeserCansu DemirciGizem GüvenDilara KurtulmuşSinan ÇalışkanoğluZuhal Topal,104,6,Televizyon dizisi,96,atv,Gani Müjde Fatih Solmaz Emre Bülbül Nilüfer Yenidoğan Gökhan Karagülle,3,174,Süreç Film,Ali Gündoğduİnci Kırhan Gündoğdu,10 Eylül 2006 - 18 Ağustos 2009,Bora Onur,Türkiye
Sevda Çiçeği,Gökhan ÖzenYasemin Hadivent Savaş DinçelHalit AkçatepeGül OnatEbru KaranfilciMeral KaplanPakize SudaErcü TuranSerdal GençEngin GünayBaşak Koçİbrahim GündoğanElif Burgaz,24,6,Televizyon dizisi,104,Show TV,Özgür Evren Heptürk,1,259,Süreç Film,İnci KırhanAli Gündoğdu,19 Haziran 2006 - 8 Aralık 2006,Tevfik ŞenolKartal Çidamlı,Türkiye
Sıla,Cansu DereMehmet Akif AlakurtZeynep EronatMenderes SamancılarDevrim SaltoğluFatoş TezFatoş SezerMuhammed CangörenCemal ToktaşBoncuk YılmazGökçe Yanardağ,79,6,Televizyon dizisi,82,atv,Muharrem Buhara,3,108,Fm YapımMost Production,Nezihe Dikilitaş,15 Eylül 2006 - 19 Eylül 2008,Yasin UsluGül Oğuz,Türkiye
Yağmurdan Sonra,Seçil Mutlu Yıldız Çağrı Atiksoy Ali Sürmeli Atilla Olgaç Kayra Şenocak Sefa Zengin,39,6,Televizyon dizisi,90,Samanyolu TV,Kerem Çatay,1,81,Ay Yapım,Salih Asan Melih Sezgin,21 Eylül 2006[1] - 28 Haziran 2007,Cemile Kırmızı Karadaş (1-4) U. Yağmur Yavuz (5-14) Hüdaverdi Yavuz (15-19) Naci Çelik Berksoy (20-39),Türkiye
Yalancı Yarim,Barış Akarsu Merve Sevi Bülent Kayabaş Ayşe Kökçü,49,14,Televizyon dizisi,60,Star TV,Haluk Özenç Betül Karabulut,1,64,Ay Yapım,FM Yapım,21 Temmuz 2006 - 30 Haziran 2007,Özer Kızıltan Şengül Halat Atak,Türkiye
Yaprak Dökümü,Halil Ergün Güven Hokna Bennu Yıldırımlar Deniz Çakır Tolga Karel Caner Kurtaran Hasan Küçükçetin Gökçe Bahadır Fahriye Evcen Bedia EnerSeda Demir,174,6,Televizyon dizisi,60,Kanal D (HD) (2006-2010),Ece YörençMelek Gençoğlu,5,5,Ay Yapım,Kerem Çatay,13 Eylül 2006 - 29 Aralık 2010,Mesude Erarslan,Türkiye
Yeşeren Düşler,Bilgehan Birincioğlu Gülşah Şahin,66,6,Televizyon dizisi,70,Samanyolu TV,Kerem Çatay,2,81,Ser Film,Mustafa Kartal,10 Aralık 2006[1][2][3] - 24 Haziran 2008[4][5],Taner Tunç,Türkiye
Yedi Numara,Şebnem Sönmez Engin Alkan Tuba ErdemOkan SelviAyça MutlugilNuray UsluGülden GüneyVolkan Girgin,92,6,Televizyon dizisi,40,TRT 1,Ayça MutlugilNuray UsluOya YüceVolkan Girgin,3,187,Ay Yapım,Oya Yüce,23 Ekim 2000[1] - 23 Haziran 2003[2],Haluk Bener Sadullah Celen,Türkiye
Acı Hayat,Kenan İmirzalıoğlu Selin Demiratar Oğuz Galeli Ebru Kocaağa Ahmet Yenilmez Murat Soydan Meral Orhonsay Ferdi Merter Anta Toros,59,6,Televizyon dizisi,90,Show TV,Aybars Bora Kahyaoğlu Soner Pehlivan Tangül Sınav İsa Yıldız,2,83,Sinegraf,Osman Sınav,14 Aralık 2005[1][2][3] - 18 Haziran 2007[4][5][6],Abdülkadir Ceylan Ede,Türkiye
Alacakaranlık,Uğur YücelKenan İmirzalıoğlu,37,6,Televizyon dizisi,104,Show TV,Sulhi DölekDefne KayalarGüliz KucurAlican Yücel,2,236,Paranoya TV,Uğur YücelDefne Kayalar,22 Ekim 2003 - 28 Mart 2005,Yağmur TaylanPaxton WintersDurul TaylanAlican Yücel,Türkiye
Aliye,Sanem ÇelikNejat İşlerHalit Ergenç,76,6,Televizyon dizisi,104,atv (2004-2006),Şebnem Çitak Güliz Kucur Ayfer Tunç,3,81,TMC Film,Erol Avcı,14 Eylül 2004 - 17 Ekim 2006,Kudret Sabancı,Türkiye
Asmalı Konak,Özcan DenizNurgül YeşilçaySelda Alkor,54,6,Televizyon dizisi,60,atv,Mahinur ErgunMeral Okay,2,87,ANS ProductionsD Productions,Abdullah Oğuz,11 Mart 2002 - 16 Haziran 2003,Çağan Irmak,Türkiye
Aşka Sürgün,Mahsun KırmızıgülBeren Saat,53,6,Televizyon dizisi,90,atv,Pınar OrduNeşe Cehizİlker BarışDeniz SertbarutCüneyt Bolak Bilal BabaoğluBarış Pirhasan,2,160,Sis Yapım,Tomris Giritlioğlu,7 Mart 20055 Haziran 2006,Cemal Şan,Türkiye
Aşkım Aşkım,Emel SayınMehmet Ali ErbilDoğa RutkayEngin GünaydınGünay KaracaoğluAyumi Takano,50,6,Televizyon dizisi,104,Kanal D (2001-2002) Kanal 1 (2007-2008),Kerem Çatay,2,303,Ay Yapım,Yağmur Ajans,8 Ekim 2001[1][2] - Haziran 2008,Filiz Kaynak (2001-2002)Nursan Esenboğa (2008),Türkiye
Avrupa Yakası,Gazanfer Özcan Hümeyra Müşfik Kenter Gönül Ülkü Ata Demirer Gülse Birsel Engin Günaydın Levent Üzümcü Şenay Gürler Bülent Polat Veysel Diker Yıldırım Öcek Yavuz Seçkin Hale Caneroğlu Evrim Akın Vural Çelik Hasibe Eren Tolga Çevik Sarp Apak Peker Açıkalın Binnur Kaya Hakan Yılmaz Ömür Arpacı Rutkay Aziz Suna Keskin ve diğerleri,190,6,Televizyon dizisi,90,atv (2004-2009),Kerem Çatay,6,165,Plato Film,Sinan Çetin,11 Şubat 200424 Haziran 2009[4],Hakan Algül (1-41) Jale Atabey (42-190),Türkiye
Bayanlar Baylar,Oktay KaynarcaHande AtaiziGünay KaracaoğluYavuz BingölLevent ÜzümcüAşkın Nur YengiBelma CanciğerSümer TilmaçEmine ÜnMansur ArkNükhet DuruÖzlem Yıldız,13,6,Televizyon dizisi,104,Kanal D,Gani Müjde,1,191,ANS Productions,Abdullah Oğuz,10 Nisan 2002[1] - 20 Eylül 2002[2],Erdoğan Engin,Türkiye
Belalı Baldız,Nurgül Yeşilçay Berna Laçin Kenan Işık Mehmet Aslan Cemre Özer Sedef Şahin Raffaele Cedolini Selin Denizli,34,6,Televizyon dizisi,60,atv,Haluk Özenç,1,193,Medyapım,Fatih Aksoy Işıl Karpuzoğlu,11 Eylül 2005 - 22 Haziran 2006,Fatih Aksoy Yonca Güzelpınar Günay Köker,Türkiye
Beşinci Boyut,Cengiz ToramanDoğan Turan,140,6,Televizyon dizisi,80,Samanyolu TV,Onur ÜnlüFunda AlpNil GüleçAziz Aydın,5,85,Ay Yapım,Melih Sezgin,12 Eylül 2005[1][2][3][4] - 19 Ekim 2009,Hasan Kıraç,Türkiye
Beyaz Gelincik,Erkan PetekkayaSezin AkbaşoğullarıAltan ErkekliMehmet Günsürİsmail HacıoğluRana Cabbar,74,6,Televizyon dizisi,104,atv,Sulhi Dölek,2,81,TMC,Erol Avcı,19 Eylül 2005[1][2][3] - 11 Haziran 2007,Güzide Balcı,Türkiye
Bizim Evin Halleri,Beyhan SaranMeral NironEmel GöksuAyşe Nil ŞamlıoğluŞahap SayılganNusret ÇetinelPervin ÜnalpBurak DemirMurat DemirOzan ŞenozanBerfu ÖngörenHülya Gülşen IrmakDilara Yalçın,1705,6,Televizyon dizisi,104,TRT 1 (14 Şubat 2000-30 Haziran 2006)Kanal 1 (9 Ekim 2006-27 Haziran 2008)atv (1 Eylül 2008-26 Aralık 2008),Tolga AydoğanErkan BirgörenAyşem Özge YoldaşAynur Ulusoy,10,20,TRTFocus Film,Osman BaşNilgün SağyaşarErol UyanıkAdil Daldal,14 Şubat 2000 - 26 Aralık 2008,Tülay EratalayTarık AlpagutCafer Özgül[1],Türkiye
Büyük Buluşma,Ümit Acar (1-36) Oğuz Oktay[1] (1-6) Zeynep Ece Akkoca[1] (1-6) Yusuf Sezgin (37-155),155,6,Televizyon dizisi,90,Samanyolu TV,"Onur Ünlü (1-77) Funda Alp (1-77) Aziz Aydın Serkan Birlik (78-115) Erkan Çıplak (78-88) Ertan Kurtulan (116-118, 120-155) Evrim Aytaş (116-118, 120-155) Ethem Özışık (116-118, 120-131, 141) Şafak Ersavaş (119) Hasan Başoğlu (132-140, 142-155)",4,81,Ser Film,Ömer Önder (1-77) Mustafa Kartal (78-155),4 Ekim 2004[1][2][3] - 27 Haziran 2008[4][5],Zeynep Tor[1] U. Yağmur Yavuz Naci Çelik Berksoy (-82) Cem Akyoldaş (83-100) Ahmet Sönmez (101-107) Gürsel Ateş (108-115) Metin Çamurcu (116-123) Hüdaverdi Yavuz (124-155),Türkiye
Büyük Yalan,Emrah Sinem Öztufan,69,6,Televizyon dizisi,104,atv[2],Kerem Çatay,2,157,Gold Film[1],Faruk Turgut,19 Kasım 20049 Haziran 2006,Yüksel Aksu Adnan Güler,Türkiye
Büyümüş de Küçülmüş,Mehmet Ali Erbil Melisa Sözen Nilgün Belgün İlkay Saran Taner Ergör Pamela Spence Gökçe Akyıldız Arda Esen Sevinç AktanselMisak TorosKerem Altaylar,9,6,Televizyon dizisi,120,Kanal D (2003),Levent Demirkale,1,273,D Productions,Abdullah Oğuz,11 Ağustos 2003[1] - 28 Ekim 2003[2],Cem Karcı,Türkiye
Cennet Mahallesi,Melek BaykalMüjdat GezenÖzkan UğurAlişanÇağla ŞıkelZeki Alasya,119,6,Televizyon dizisi,80,Show TV,Resul Ertaş,3,191,Erler Film,Türker İnanoğlu,11 Haziran 2004[1][2] - 9 Haziran 2007[3][4][5][6][7],Serdar Akar (1-6)Yaşar Seriner (7-119),Türkiye
Çapkın,Okan Yalabık Özlem Conker Ahmet Mümtaz Taylan Nergis Kumbasar Suna Pekuysal Bartu Küçükçağlayan Melis Birkan Nergis Kumbasar Nilüfer Silsüpür Burçin Üçüncüoğlu Volga Sorgu Zuhal Yalçın Aslı Orcan Süheyla Gözde Soley Mustafa Uzunyılmaz Seval İşgören Güngör Varlı Hasan Mullaoğlu,17,6,Televizyon dizisi,90,Show TV,Ali Can Yaraş,1,202,Süreç Film,Ali Gündoğdu,7 Ekim 2005[1][2][3] - 2006,Bora Onur,Türkiye
Çemberimde Gül Oya,Selda AlkorÖzge ÖzberkMehmet Ali NuroğluTuba BüyüküstünMelisa SözenSuzan AksoyŞerif SezerKenan BalIşıl Yücesoy,40,6,Televizyon dizisi,75,Kanal D,Sertaç ErginNihan KüçükuralKerim CeylanFikret BeklerÇağan Irmak,1,141,Avşar Film,Şükrü AvşarBahadır Atay,3 Eylül 2004 - 1 Temmuz 2005,Çağan Irmak,Türkiye
Çocuklar Duymasın,Tamer KaradağlıPınar AltuğVolkan SevercanZeyno GünençÖykü GüvenAlp Eren KhamisMehmet Baran ErdoğanBuse Sinem İrenEski başrolAyşecan TatariFurkan KızılayÖzgür OzanHayal Kahraman ÖzalpBengisu Özenel,464,1,Televizyon dizisi,120,"TGRT (2002)atv (2002-2003, 2010-2012)Star TV (2003-2005)FOX (2013-2014)Kanal D (2017-2019)",Birol GüvenMetin Açıkgöz (2002-2012)Nilüfer Yenidoğan (2002-2005)Özlem Aybek (2002-2005)Müfit Can Saçıntı (2010-2012)Caner Güler (2010-2012),9,16,Protel Yapım (2002)MinT Motion Pictures (2002-2019),Birol GüvenSüleyman Nebioğlu (2002),16 Ocak 2002 - 11 Nisan 2019,"Bora Tekay (2010-2014, 2017-2019)Raşit Çelikezer (2002-2005)Günay Köker (2010-2012)",Türkiye
Çocuklar Ne Olacak,Ayşecan TatariFurkan KızılayÖzgür OzanZeyno GünençFerdi AkarnurAyşen Tekin,26,6,Televizyon dizisi,104,Star TV (2004-2005),Metin Açıkgöz,1,9,Ay Yapım,Birol Güven,15 Eylül 2004 - 6 Mayıs 2005,Raşit Çelikezer,Türkiye
Dadı,Gülben Ergen Kenan Işık Haldun Dormen Seray Sever Sinem Kobal İlkay Saran Yaşar Abravaya Gökçe Uzuner Tanju Tuncel Ercan Süt Alp Emre Kököz Altuğ Yücel,61,8,Televizyon dizisi,45,Show TV (2001) Star TV (2002),Erol Hızarcı,3,203,Medyapım,Sibel Tuna,5 Ocak 2001 - 28 Ekim 2002,Fatih Aksoy Ebru Yalçın Yonca Güzelpınar,Türkiye
Ekmek Teknesi,Savaş DinçelSermin HürmeriçHasan KaçanKadir ÇöpdemirAhmet Yenilmez,106,6,Televizyon dizisi,104,atv (2002-2004)Show TV (2004-2005),Hasan KaçanBahadır ÖzdenerRaci ŞaşmazElif AktuğMehmet TurgutÖmer Lütfi Mete,3,209,Sinegraf (2002-2004)Pana Film (2004-2005),Osman Sınav (2002-2004)Raci Şaşmaz (2004-2005),16 Kasım 2002[1][2] - 13 Haziran 2005[3][4],Metin GünayOsman SınavGürsel AteşSadullah Şentürk,Türkiye
Emret Komutanım,Sarp LevendoğluDemet EvgarSeda Akman,95,6,Televizyon dizisi,90,Show TV (2005-2007) Kanal 1 (2008),Alper ErzeMustafa AltıoklarSermiyan MidyatSırrı Süreyya ÖnderMüfit Can SaçıntıYılmaz OkumuşMeriç AcemiEmine AltıoklarCaner GülerNükhet BıçakçıEbru HacoğluSavaş SaylanÖmhur KaynakÖmer GençEngin ElgünOsman DikicilerEngin Özer,4,57,Altıoklar Film Prodüksiyon,Emine AltıoklarMehmet Altıoklar,23 Haziran 2005[1][2][3] - 18 Temmuz 2008[4][5][6],Mustafa Altıoklar (Proje genel yönetmeni)Kartal TibetÖmer UğurHakan AlgülOğuz YalçınTaner AkvardarHaluk GölTuba GermanSarp LevendoğluMurat Düzgünoğlu,Türkiye
En Son Babalar Duyar,Ayşegül Atik Ali Erkazan Levent Ülgen Hatice Aslan,200,6,Televizyon dizisi,104,"TRT 1 (2002-2003, 1. sezon) Star TV (2003-2006, 2-5. sezon)",Necmi YapıcıMurat Aras Metin Açıkgöz Birol GüvenKenan Kuzan,5,166,Ay Yapım,Birol Güven,21 Eylül 2002[5] - 30 Aralık 2006,Sibel KocataşFunda Karagöz,Türkiye
Esir Şehrin İnsanları,Emre KınayZeynep TokuşFikret KuşkanBaşak KöklükayaSeray SeverZafer AlgözAli Sirmen,8,6,Televizyon dizisi,104,TRT 1,Ahmet Yurdakul,1,156,TRT,Cem Özdemir,2003 - 2003,Cafer Özgül,Türkiye
Gülbeyaz,Şevval SamNejat İşlerMeral ÇetinkayaKamran UsluerBora AyanoğluYeşim Ceren Bozoğlu,26,6,Televizyon dizisi,45,Kanal D,Rüya İşçileriMeriç DemirayCenk BogaturCem GörgeçBarış Erdoğan,1,223,eyeQ prodiction,Kerem Çatay,13 Aralık 2002 - 27 Haziran 2003,Özer Kızıltan,Türkiye
Gümüş,Kıvanç TatlıtuğSongül ÖdenEkrem Bora,100,6,Televizyon dizisi,104,Kanal D (2005-2007),Kerem Çatay,3,145,D Productions,Kerem Çatay,20 Ocak 2005[1][2][3][4] - 16 Haziran 2007,Tarık AlpagutKemal Uzun,Türkiye
Hayat Bilgisi,Perran Kutman Tarık Pabuççuoğlu Kerem Kupacı,137,6,Televizyon dizisi,60,Kanal D (2003)Show TV (2003-2006),Gani MüjdeDeniz AkçayFatih SolmazGökhan KaragülleNilüfer YenidoğanEmre Bülbül,4,182,Süreç Film,Ali Gündoğdu,13 Şubat 2003 - 16 Haziran 2006,Tarkan Karlıdağ,Türkiye
Haziran Gecesi,Özcan DenizNaz ElmasNebahat ÇehreDemir Karahan,62,6,Televizyon dizisi,60,Kanal D,Mahinur ErgunMemed Onur Özkök,2,81,Gold Film,Faruk Turgut,13 Eylül 2004 - 20 Şubat 2006,Andaç Haznedaroğlu,Türkiye
Hekimoğlu,Serdar Özer İsmet Gülsoy Cem Kurtoğlu Aslı Orcan İsmet Erten Barış Koçak,39,6,Televizyon dizisi,80,Samanyolu TV,Mahmut Bengi[1],1,83,Samanyolu TV,Ahmet Gül[1],22 Eylül 2003[2] - 21 Haziran 2004[3],Hasan Karacadağ[1] (1-11) Murat Saraçoğlu[1] (12-39),Türkiye
Hırsız Polis,Uğur YücelTimuçin EsenÖzlem DüvencioğluMurat DaltabanErol GünaydınOzan GüvenRasim ÖztekinDağhan KülegeçHakan BoyavYasemin ÇonkaVahide PerçinAhmet Saraçoğluİpek Bilgin,50,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,2,232,TMC Film,Erol Avcı,26 Ekim 2005 - 15 Mart 2007,Türkan Derya Güven,Türkiye
Hürrem Sultan,Gülben Ergen Ali Sürmeli Hatice Aslan Serdar Deniz,8,6,Televizyon dizisi,104,Star TV (2003),Kerem Çatay,1,281,Medyapım,Faruk Aksoy Fatih Aksoy,2003 - 2003,Fatih Aksoy Fatmanur Sevinç,Türkiye
Ihlamurlar Altında,Bülent İnalTuba BüyüküstünÖzge BorakSinan Tuzcu,80,6,Televizyon dizisi,100,Kanal D,Nilgün ÖneşNeslihan EyüboğluAyşe Teker,2,81,Avşar Film,Şükrü Avşar,16 Eylül 2005 - 29 Haziran 2007,Aydın Bulut,Türkiye
İkinci Bahar,Türkan ŞorayŞener ŞenTarık PapuççuoğluGüven HoknaNedim SabanÖzkan UğurNurgül YeşilçayOzan Güven,37,6,Televizyon dizisi,104,atv (1998-2001),Sulhi Dölek,3,81,Erler FilmMost Production,Mustafa Oğuz,29 Ekim 1998 - 11 Ocak 2001,Uğur YücelOrhan OğuzTürkan Derya,Türkiye
Kadın İsterse,Hülya Avşar Cihan Ünal Deniz Çakır Zerrin Sümer Derya Baykal Kazım Akşar Burçin Terzioğlu Vildan Atasever Oğuz Oktay Cahit Kaşıkçılar Elif Tayhan,52,6,Televizyon dizisi,104,Star TV (2004-2005) Show TV (2005-2006),Yelda Açıkgöz Nur Özlem Açıkgöz Birol Güven Murat Aras,2,92,Mint Ay Yapım İmaj TV (teknik yapım),Birol Güven (2004-2006) Kerem Çatay (2004-2006),12 Aralık 2004[1][2] - 25 Nisan 2006[3][4],Bora Tekay,Türkiye
Kalp Gözü,,59,6,Televizyon dizisi,104,Kanal 7,Süleyman Çobanoğlu,,89,Ay Yapım,Kerem Çatay,8 Mart 2004[2][3] - 10 Haziran 2007[4][5][6][7][8][9][10][11][12][13][14][15],Gül GüzelkayaHale Çalap[1]Gülizar Vatanlar,Türkiye
Kampüsistan,Kaan UrgancıoğluGöksun ÇamBurak AltayTuğçe Kazazİpek DeğerEngin HepileriIrmak ÜnalEkim MağdenAylin KontenteElif Akşarİstemihan Tuna,44,6,Televizyon dizisi,104,Kanal D,Deniz ErgunMahinur ErgunCenk Aksoyer,2,122,D Productions,Abdullah Oğuz,6 Ekim 2003[1] - 11 Eylül 2004,Uluç Bayraktar,Türkiye
Kezban Yenge,,46,6,Televizyon dizisi,60,Kanal 7 (2005-2006),Kasım Uçkan,2,197,Ay Yapım,Hilal Saral,27 Mart 2005[1][2][3][4][5][6][7][8][9][10][11][12][13] - 28 Haziran 2006[14][15][16][17][18][19][20],Hilal Saral,Türkiye
Kınalı Kar,Emrah Özlem Conker Engin ŞenkanMustafa Avkıran,90,6,Televizyon dizisi,60,Kanal D,Gamze Özer Özgür Evren Heptürk,3,81,Yağmur Ajans,Osman Yağmurdereli,21 Eylül 2002[1] - 25 Aralık 2004[2][3][4],Taner Akvardar,Türkiye
Koçum Benim,Tarık AkanEbru CündübeyoğluEngin AltanSevil ÜstekinZihni GöktayOzan GüvenYunus Günçe,47,6,Televizyon dizisi,104,TRT 1 (2002-2003),Yonca Akasya,2,193,Replik Ajans,Hüseyin Apaydın,7 Mart 2002 - 4 Nisan 2003,Vecihi EnerSerdar Akar,Türkiye
Kurtlar Vadisi,Necati Şaşmaz Özgü Namal Selçuk Yöntem Oktay Kaynarca Zafer Ergin Gürkan Uygun,97,6,Televizyon dizisi,60,Show TV (2003-2005) Kanal D (2005),Ahmet Yurdakul (1-6) Raci Şaşmaz (1-97) Bahadır Özdener (1-97) Mehmet Turgut (21-55),4,27,Sinegraf (2003-2004) Pana Film (2004-2005),Osman Sınav (2003-2004) Raci Şaşmaz (2004-2005),15 Ocak 2003 - 29 Aralık 2005,Osman Sınav (1-55) Mustafa Şevki Doğan (21-55) Serdar Akar (56-97),Türkiye
Lise Defteri,Ece ErkenEmre AltuğArda KuralSelin Demiratar,28,6,Televizyon dizisi,60,Kanal D,Kerem Çatay,1,183,Ay Yapım,Mustafa Altıoklar,12 Eylül 2003[1] - 13 Mayıs 2004[2][3],Mustafa Altıoklar,Türkiye
Mavi Rüya,Melda BekcanAli BaşarEsin Civangil,71,6,Televizyon dizisi,104,Samanyolu TV,Samim Utku,2,125,Ser Film,Salih Asan,17 Kasım 2004[1][2] - 21 Haziran 2006[3][4],Avni KütükoğluCemile Kırmızı Karadaş,Türkiye
Serseri,Gamze Özçelik Okan Yalabık Erkan Petekkaya Cüneyt Arkın,63,6,Televizyon dizisi,104,Kanal D,Kerem Çatay,2,258,Yağmur Ajans,Osman Yağmurdereli,14 Temmuz 200325 Ekim 2004,Cem Akyoldaş,Türkiye
Sihirli Annem,İnci TürkayŞahap SayılganDefne Joy FosterZuhal TopalNevra SerezliEbru KaranfilciMetin SerezliGül Onat,240,6,Televizyon dizisi,60,"Kanal D (2003-2005, 119 Bölüm)Star TV (2006, 2011-2012, 121 Bölüm)",Gamze Özer,7,178,Süreç Film,İnci Kırhan Gündoğdu,27 Şubat 2003[1] - 10 Mart 2012,Ersoy Güler (2003)Tülay Kocatürk (2004-2005)Kartal Çidamlı (2006-2012),Türkiye
Şubat Soğuğu,Kenan BalSuavi Eren,78,6,Televizyon dizisi,90,Samanyolu TV,Mahmut Bengi,2,96,Ay Yapım,Ahmet Gül,21 Eylül 2004[1] - 30 Haziran 2006[2][3],Murat Saraçoğlu (1-6)Gürsel Ateş (7-14)Etka Yeşiltepe (15)Sabri Saydam (16-28)Demir Keskin (29-63)Avni Kütükoğlu (64-78),Türkiye
Şöhret,Ahu TürkpençeAtilla SaralMurat ÜnalmışNurseli İdiz Şebnem DilligilTürkan KılıçOnur BayraktarBurak AltayOya OkarBengi ÖztürkKevork TürkerEbru GedizSelma ErgeçYalçın Dümer,71,6,Televizyon dizisi,90,atv,Deniz Akçay,2,81,Gold Film,Faruk Turgut,10 Kasım 2005 - 25 Haziran 2007,Bahadır İnce,Türkiye
Tatlı Hayat,Türkan ŞorayHaluk BilginerAsuman DabakÇolpan İlhanNecoCelal Kadri KınoğluGamze ÖzçelikEmre AltuğVeysel DikerSevinç AktanselSedat KalkavanLevent Sülün,106,6,Televizyon dizisi,104,Show TV (2001-2004),Haluk ÖzençBora Tekay,3,203,Medyapım,Sibel Tuna,18 Ekim 2001[1] - Haziran 2004,Bora Tekay,Türkiye
Vay Anam Vay,Nevra Serezli Atilla Olgaç Sıdıka Şenkan Ayhan Kavas Gülen Karaman Hakan Vanlı Burçak Işımer Metin Zakoğlu Saydam YeniayMelike Güner Alev Cınbarcı Rüyam Olunçay Parkan Özturan Kaya Gürel Ezgim Kılınç Mustafa Uzunyılmaz Nesrin İşçi Nihal Menzil,60,6,Televizyon dizisi,95,Kanal D,Gani Müjde Caner Güler Uğur Yağcıoğlu,1,191,D Productions,Abdullah Oğuz,27 Kasım 2000[1][2] - 18 Mayıs 2001[3][4][5],Erdoğan Engin,Türkiye
Yabancı Damat,Erdal ÖzyağcılarSumru YavrucukNehir ErdoğanÖzgür ÇevikArif ErkinZeki AlasyaBinnur KayaTülin OralYılmaz Gruda,106,6,Televizyon dizisi,80,Kanal D (2004-2007),Kerem Çatay,3,81,Erler Film,Türker İnanoğlu,12 Kasım 2004 - 15 Haziran 2007,Yağmur TaylanDurul Taylan,Türkiye Yunanistan
Yanık Koza,Yavuz BingölBaşak KöklükayaÇolpan İlhanAyça İnciMustafa AlaboraBurak DavutoğluTuncer NecmioğluSerdar ÖzerBaşak DaşmanKemal OkurBarış ErdiPerihan SavaşMete HorozoğluSedef AvcıHande KazanovaSaadet GürsesErdal CindorukAli KaragözYavuz Karakaş,68,6,Televizyon dizisi,104,Show TV,N. İpek AksoyErtan KurtulanAydın Üredi,3,121,Limon Film,Hayri Aslan,6 Nisan 2005[3] - 21 Şubat 2007[4],Murat SaraçoğluÖzer KızıltanMesude Erarslan,Türkiye
